date,block0,block1,block2,block3,block4,block5
2025-04-13,28.94,55.6,129.43,306.58,131.56,49.44
2025-04-14,28.88,51.84,126.43,210.3,117.0,58.0
2025-04-15,27.12,65.2,115.56,238.16,100.0,77.33
2025-04-16,24.0,64.0,128.0,177.18,101.96,61.32
2025-04-17,18.0,53.0,105.0,144.0,90.0,55.2
2025-04-18,15.2,45.0,71.1,108.9,70.5,15.0
2025-04-19,15.36,48.6,90.31,130.01,100.0,62.04
2025-04-20,15.54,35.5,105.91,260.5,95.5,48.9
2025-04-21,18.4,31.9,89.0,240.0,68.0,49.32
2025-04-22,18.4,45.0,91.53,205.0,109.36,53.72
2025-04-23,15.0,55.6,82.28,170.0,97.0,67.6
2025-04-24,15.2,69.4,100.0,107.8,82.0,58.0
2025-04-25,12.12,55.16,71.68,74.8,60.0,46.6
2025-04-26,14.17,27.22,85.0,193.31,80.0,48.0
2025-04-27,18.4,40.32,130.11,265.51,95.0,46.0
2025-04-28,18.5,47.52,115.0,137.63,85.0,48.0
2025-04-29,14.7,52.0,129.09,116.0,80.0,55.2
2025-04-30,15.6,46.0,135.06,80.0,95.6,46.0
2025-05-01,18.4,48.0,223.6,400.0,150.04,54.0
2025-05-02,19.1,60.0,191.75,280.2,153.94,56.8
2025-05-03,18.4,55.6,168.12,200.0,149.57,67.36
2025-05-04,28.27,35.3,120.0,150.3,130.3,48.0
2025-05-05,24.3,42.6,141.36,177.0,128.0,74.56
2025-05-06,35.23,54.7,169.11,208.81,136.42,76.47
2025-05-07,29.0,60.0,141.31,160.7,126.43,72.0
2025-05-08,19.3,48.6,96.1,105.0,85.0,70.0
2025-05-09,18.4,46.1,100.0,128.0,84.0,72.0
2025-05-10,16.0,43.0,88.0,149.16,88.0,55.6
2025-05-11,26.4,45.5,199.5,272.0,135.04,76.0
2025-05-12,25.73,57.96,190.15,260.0,136.27,64.3
2025-05-13,18.4,60.0,158.52,273.2,123.4,61.3
2025-05-14,45.0,55.6,199.23,360.0,125.0,52.0
2025-05-15,35.4,60.0,240.0,430.86,182.7,70.3
2025-05-16,33.9,51.4,198.0,333.74,114.0,47.2
2025-05-17,26.4,66.0,224.0,368.0,151.05,80.0
2025-05-18,24.7,64.0,248.0,336.0,155.0,71.0
2025-05-19,23.4,59.58,168.0,273.03,135.0,72.0
2025-05-20,22.0,60.0,172.0,249.0,119.0,58.14
2025-05-21,20.22,58.0,146.9,229.0,118.14,61.68
2025-05-22,21.6,50.24,204.0,204.0,116.0,52.0
2025-05-23,20.9,44.83,145.0,150.7,90.0,52.0
2025-05-24,19.5,45.0,125.6,125.6,85.0,65.6
2025-05-25,24.43,45.0,160.0,160.0,75.0,70.0
2025-05-26,18.4,44.0,128.0,176.0,76.0,55.2
2025-05-27,18.4,56.0,145.0,218.89,73.0,51.0
2025-05-28,31.68,45.0,120.0,160.0,72.0,48.0
2025-05-29,19.1,37.4,110.0,111.65,72.0,48.0
2025-05-30,20.2,42.92,120.0,120.0,116.0,55.0
2025-05-31,18.4,34.0,110.41,128.0,80.0,52.0
2025-06-01,24.0,36.6,109.7,128.0,104.0,47.5
2025-06-02,23.0,47.58,120.0,116.0,108.0,58.75
2025-06-03,22.75,53.54,172.44,200.0,120.0,65.4
2025-06-04,20.0,53.2,101.0,113.74,100.0,67.2
2025-06-05,18.4,42.08,109.4,100.0,84.69,52.0
2025-06-06,19.1,45.33,112.0,90.0,95.39,56.0
2025-06-07,16.0,30.0,77.09,120.0,79.0,50.75
2025-06-08,25.39,43.16,100.0,125.12,112.64,56.4
2025-06-09,28.0,42.29,132.48,129.2,96.0,56.0
2025-06-10,19.1,38.0,100.0,118.88,92.0,60.0
2025-06-11,17.2,27.81,114.71,100.0,84.0,47.61
2025-06-12,18.4,36.0,120.0,100.0,100.0,48.0
2025-06-13,17.5,33.08,100.0,80.0,97.4,43.8
2025-06-14,18.4,31.25,88.0,104.0,84.0,38.8
2025-06-15,16.0,27.0,88.0,80.0,87.94,40.12
2025-06-16,16.64,31.28,120.0,120.0,88.0,59.56
2025-06-17,17.27,36.91,129.8,112.0,78.76,42.9
2025-06-18,17.2,28.37,126.04,78.0,100.0,42.86
2025-06-19,17.0,27.0,140.0,120.0,108.0,48.0
2025-06-20,18.4,41.0,143.19,97.79,120.0,55.2
2025-06-21,22.5,40.7,108.0,120.0,120.0,45.0
2025-06-22,22.7,38.34,156.31,294.2,142.58,45.0
2025-06-23,19.96,35.21,162.96,140.0,121.0,55.2
2025-06-24,47.74,60.0,250.0,384.0,180.0,72.0
2025-06-25,44.07,60.0,181.69,236.0,123.4,67.43
2025-06-26,30.24,48.0,116.28,130.0,90.12,48.0
2025-06-27,24.0,47.56,100.0,88.0,88.0,44.67
2025-06-28,24.72,40.64,96.0,117.0,96.0,48.0
2025-06-29,38.27,62.4,140.0,180.0,144.08,47.2
2025-06-30,32.6,50.12,149.83,226.08,108.68,82.0
2025-07-01,30.29,60.0,174.4,226.68,100.0,75.0
2025-07-02,26.48,60.47,168.0,213.62,104.36,67.43
2025-07-03,30.0,55.0,120.0,124.12,88.7,53.0
2025-07-04,19.7,49.92,117.1,120.0,88.7,48.0
2025-07-05,28.64,46.0,105.86,140.0,100.0,41.0
2025-07-06,22.5,36.36,125.93,203.38,104.0,40.0
2025-07-07,19.1,32.08,83.52,148.0,81.0,48.0
2025-07-08,27.7,50.58,134.28,160.0,100.0,53.6
2025-07-09,26.6,44.57,165.5,192.8,96.0,50.0
2025-07-10,17.2,38.0,128.0,115.07,84.0,57.8
2025-07-11,14.8,39.92,92.76,95.0,70.92,43.64
2025-07-12,18.4,37.2,82.2,80.0,65.0,41.2
2025-07-13,19.64,44.0,97.92,101.3,80.0,41.0
2025-07-14,17.0,34.5,69.0,88.0,64.4,45.76
2025-07-15,18.4,40.0,90.0,85.0,80.0,59.2
2025-07-16,16.0,30.72,79.29,77.0,58.0,45.64
2025-07-17,15.5,33.97,79.51,118.84,75.16,40.0
2025-07-18,17.4,35.84,79.51,88.0,66.7,44.0
2025-07-19,18.24,27.78,80.0,80.0,68.59,42.12
2025-07-20,15.73,24.0,92.0,92.0,77.14,40.66
2025-07-21,14.71,21.92,62.0,78.0,51.0,36.0
2025-07-22,17.29,36.0,111.0,101.8,80.0,45.0
2025-07-23,18.4,39.55,118.2,115.07,82.26,48.8
2025-07-24,18.4,33.4,92.76,92.2,70.4,45.0
2025-07-25,16.57,35.0,86.29,82.0,55.24,32.0
2025-07-26,17.2,27.66,72.0,72.0,59.9,30.0
2025-07-27,14.5,25.7,83.68,80.0,60.84,36.0
2025-07-28,16.38,32.48,65.84,115.07,65.0,48.0
2025-07-29,18.4,41.0,108.01,160.0,71.24,62.78
2025-07-30,16.0,36.0,97.73,148.1,61.18,48.0
2025-07-31,18.4,34.49,81.07,128.13,60.0,46.68
2025-08-01,17.42,26.0,67.2,85.91,53.44,37.26
2025-08-02,17.31,26.0,60.27,68.0,56.4,40.0
2025-08-03,19.0,25.0,77.0,96.0,71.0,48.0
2025-08-04,23.5,51.73,82.12,128.44,85.4,44.0
2025-08-05,30.56,44.0,125.5,169.65,84.0,55.6
2025-08-06,22.57,39.52,137.22,228.76,107.0,50.46
